Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1991","1991","","42.8647024078","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1992","1992","","42.8647024078","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1993","1993","","42.8647024078","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1994","1994","","45.4430786165","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1995","1995","","61.7313808688","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1996","1996","","80.5294538254","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1997","1997","","90.7977856898","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1998","1998","","105.3205562648","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1999","1999","","126.8013449808","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2000","2000","","119.7078064864","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2001","2001","","114.6814740439","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2002","2002","","116.4312608885","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2003","2003","","98.2489426234","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2004","2004","","104.9179939632","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2005","2005","","102.2761497558","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2006","2006","","92.805856281","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2007","2007","","85.0484413973","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2008","2008","","75.3855376284","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2009","2009","","77.5707724377","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2010","2010","","87.6962216618","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2011","2011","","89.1449393676","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2012","2012","","90.1632062877","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2013","2013","","86.4615664572","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2014","2014","","87.0000240486","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1993","1993","","73.1097152416","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1994","1994","","65.3197813525","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1995","1995","","65.8389224477","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1996","1996","","75.9072037947","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1997","1997","","99.3214361361","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1998","1998","","100.6218740734","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1999","1999","","95.6068020806","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2000","2000","","98.6448017636","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2001","2001","","99.8249616188","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2002","2002","","101.6780564786","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2003","2003","","104.6403198301","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2004","2004","","100.6129023487","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2005","2005","","99.100757198","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2006","2006","","100.2863404534","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2007","2007","","103.8547712612","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2008","2008","","103.3504252286","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2009","2009","","105.5200305655","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2010","2010","","116.1154523328","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2011","2011","","122.3379817656","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2012","2012","","130.7014323212","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2013","2013","","150.4670370818","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2014","2014","","137.0081452392","Fc","Calculated data"
"PI","Producer Price Indices - Annual","3","Albania","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","2015","2015","","142.0080388347","Fc","Calculated data"
"PI","Producer Price Indices - Annual","4","Algeria","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1991","1991","","17.2377537174","Fc","Calculated data"
"PI","Producer Price Indices - Annual","4","Algeria","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1992","1992","","25.7089785766","Fc","Calculated data"
"PI","Producer Price Indices - Annual","4","Algeria","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1993","1993","","27.9781590343","Fc","Calculated data"
"PI","Producer Price Indices - Annual","4","Algeria","5539","Producer Price Index (2004-2006 = 100)","2051","Agriculture (PIN)","1994","1994","","33.5812233984","Fc","Calculated data"
